stars,name,full_name,description,url
2120,spring-boot-cloud,zhangxd1989/spring-boot-cloud,基于 Spring Boot、Spring Cloud、Spring Oauth2 和 Spring Cloud Netflix 等框架构建的微服务项目,https://github.com/zhangxd1989/spring-boot-cloud
2113,goodsKill,techa03/goodsKill,🐍基于SpringCloud 2023.x + Dubbo 3.x + AI构建的模拟秒杀微服务项目，集成了Elasticsearch🔍、Gateway、Mybatis-Plus、Sharding-JDBC等常用开源组件,https://github.com/techa03/goodsKill
2101,spring-boot-vuejs,jonashackt/spring-boot-vuejs,Example project showing how to build a Spring Boot App providing a GUI with Vue.js,https://github.com/jonashackt/spring-boot-vuejs
2097,spring-boot-leaning,ityouknow/spring-boot-leaning,Spring Boot 2.X 最全课程代码,https://github.com/ityouknow/spring-boot-leaning
1976,SpringBoot-vue,boylegu/SpringBoot-vue,A example demo base SpringBooot with vueJS2.x + webpack2.x as Java full stack web practice,https://github.com/boylegu/SpringBoot-vue
1965,whatsmars,javahongxi/whatsmars,Java生态研究(Spring Boot + Redis + Dubbo + RocketMQ + Elasticsearch)🔥🔥🔥🔥🔥,https://github.com/javahongxi/whatsmars
1964,poli,shzlw/poli,An easy-to-use BI server built for SQL lovers. Power data analysis in SQL and gain faster business insights.,https://github.com/shzlw/poli
1963,weixin-java-mp-demo,binarywang/weixin-java-mp-demo,基于Spring Boot 和 WxJava 实现的微信公众号Java后端Demo，支持多公众号,https://github.com/binarywang/weixin-java-mp-demo
1945,spring-boot-3-jwt-security,ali-bouali/spring-boot-3-jwt-security,Sample project on how to implement JWT security based using Spring boot 3 and Spring security 6,https://github.com/ali-bouali/spring-boot-3-jwt-security
1913,metasfresh,metasfresh/metasfresh,"We do Open Source ERP - Fast, Flexible & Free Software to scale your Business.",https://github.com/metasfresh/metasfresh
1910,pybbs,atjiu/pybbs,更实用的Java开发的社区(论坛)，Better use of Java development community (forum),https://github.com/atjiu/pybbs
1896,staffjoy,spring2go/staffjoy,微服务(Microservices)和云原生架构教学案例项目，基于Spring Boot和Kubernetes技术栈,https://github.com/spring2go/staffjoy
1796,spring-security-react-ant-design-polls-app,callicoder/spring-security-react-ant-design-polls-app,"Full Stack Polls App built using Spring Boot, Spring Security, JWT, React, and Ant Design",https://github.com/callicoder/spring-security-react-ant-design-polls-app
1735,yas,nashtech-garage/yas,"YAS: Yet Another Shop, a sample microservices project in Java",https://github.com/nashtech-garage/yas
1720,spring-startup-analyzer,linyimin0812/spring-startup-analyzer,spring-startup-analyzer generates an interactive spring application startup report that lets you understand what contributes to the application startup time and helps to optimize it.🚀,https://github.com/linyimin0812/spring-startup-analyzer
1707,mogu_blog_v2,moxi624/mogu_blog_v2,"蘑菇博客(MoguBlog)，一个基于微服务架构的前后端分离博客系统。Web端使用Vue + Element , 移动端使用uniapp和ColorUI。后端使用Spring cloud + Spring boot + mybatis-plus进行开发，使用 Jwt + Spring Security做登录验证和权限校验，使用ElasticSearch和Solr作为全文检索服务，使用Github Actions完成博客的持续集成，使用ELK收集博客日志，文件支持上传七牛云和Minio，支持Docker Compose脚本一键部署。",https://github.com/moxi624/mogu_blog_v2
1680,spring-fu,spring-projects-experimental/spring-fu,Configuration DSLs for Spring Boot,https://github.com/spring-projects-experimental/spring-fu
1593,jsql-injection,ron190/jsql-injection,jSQL Injection is a Java application for automatic SQL database injection.,https://github.com/ron190/jsql-injection
1551,matecloud,matevip/matecloud,🔥MateCloud是一款基于Spring Cloud Alibaba的微服务架构。目前已经整合Spring Boot 2.7.0、 Spring Cloud 2021、Spring Cloud Alibaba 2021、Spring Security Oauth2、Feign、Dubbo、JetCache、RocketMQ等，支持多租户的低代码平台，Saas平台开发套件,https://github.com/matevip/matecloud
1517,serverless-java-container,aws/serverless-java-container,"A Java wrapper to run Spring, Spring Boot, Jersey, and other apps inside AWS Lambda.",https://github.com/aws/serverless-java-container
1423,hawtio,hawtio/hawtio,Hawtio web console helps you manage your JVM stuff and stay cool!,https://github.com/hawtio/hawtio
1405,RuoYi-Cloud,yangzongzhuan/RuoYi-Cloud,:tada: (RuoYi)官方仓库 基于Spring Boot、Spring Cloud & Alibaba的分布式微服务架构权限管理系统,https://github.com/yangzongzhuan/RuoYi-Cloud
1362,weixin-java-miniapp-demo,binarywang/weixin-java-miniapp-demo,基于Spring Boot 和 WxJava 实现的微信小程序Java后端Demo,https://github.com/binarywang/weixin-java-miniapp-demo
1343,spring-reactive-sample,hantsy/spring-reactive-sample,Spring 5/6 Reactive playground,https://github.com/hantsy/spring-reactive-sample
1316,flowing-retail,berndruecker/flowing-retail,"Sample application demonstrating an order fulfillment system decomposed into multiple independant components (e.g. microservices). Showing concrete implementation alternatives using e.g. Java, Spring Boot, Apache Kafka, Camunda, Zeebe, ...",https://github.com/berndruecker/flowing-retail
1306,novel-cloud,201206030/novel-cloud,novel-cloud 是基于 novel 构建的 Spring Cloud 微服务技术栈学习型小说项目。选用了 Spring Boot 3 、Spring Cloud 2022、Spring Cloud Alibaba 2022、MyBatis-Plus、ShardingSphere-JDBC、Redis、RabbitMQ、Elasticsearch 、XXL-JOB 等流行技术。,https://github.com/201206030/novel-cloud
1297,pacbot,tmobile/pacbot,PacBot (Policy as Code Bot),https://github.com/tmobile/pacbot
1280,mycollab,MyCollab/mycollab,"An open source, free, high performance, stable and secure Java Application Business Platform of Project Management and Document",https://github.com/MyCollab/mycollab
1250,sample-spring-microservices-new,piomin/sample-spring-microservices-new,"Demo for Spring Boot 3(`master` branch)/2(other branches) and Spring Cloud microservices with distributed configuration (Spring Cloud Config), service discovery (Eureka), API gateway (Spring Cloud Gateway, Zuul), Swagger/OpenAPI documentation (Springdoc), logs correlation using Spring Cloud Sleuth/Micrometer OTEL and many more",https://github.com/piomin/sample-spring-microservices-new
1212,RuoYi,lerry903/RuoYi,基于SpringBoot2.1的权限管理系统 易读易懂、界面简洁美观。 核心技术采用Spring、MyBatis、Shiro没有任何其它重度依赖。直接运行即可用,https://github.com/lerry903/RuoYi
1140,riskscanner,fit2cloud/riskscanner,RiskScanner 是开源的多云安全合规扫描平台，基于 Cloud Custodian 和 Nuclei 引擎，实现对主流公(私)有云资源的安全合规扫描和漏洞扫描。,https://github.com/fit2cloud/riskscanner
1063,OneBlog,zhangyd-c/OneBlog,:alien: OneBlog，一个简洁美观、功能强大并且自适应的Java博客 ,https://github.com/zhangyd-c/OneBlog
1061,spring-boot-websocket-chat-demo,callicoder/spring-boot-websocket-chat-demo,Spring Boot WebSocket Chat Demo with SockJS fallback and STOMP protocol,https://github.com/callicoder/spring-boot-websocket-chat-demo
1042,spring-cloud-study,eacdy/spring-cloud-study,开源书《跟我学Spring Cloud》的配套代码。讨论QQ群：731548893,https://github.com/eacdy/spring-cloud-study
998,spring-boot-student,wyh-spring-ecosystem-student/spring-boot-student,spring-boot-student,https://github.com/wyh-spring-ecosystem-student/spring-boot-student
958,spring-boot-demo,smltq/spring-boot-demo,spring boot demo 是一个Spring Boot、Spring Cloud的项目示例，根据市场主流的后端技术，共集成了50+个demo，未来将持续更新。该项目包含helloworld(快速入门)、web(ssh项目快速搭建）、aop(切面编程)、data-redis(redis缓存)、quartz(集群任务实现)、shiro（权限管理）、oauth2（四种认证模式）、shign(接口参数防篡改重放）、encoder（用户密码设计）、actuator（服务监控）、cloud-config（配置中心）、cloud-gateway（服务网关）等模块,https://github.com/smltq/spring-boot-demo
954,openkoda,openkoda/openkoda,Open source business application platform for fast development,https://github.com/openkoda/openkoda
947,spring-boot-microservices,SaiUpadhyayula/spring-boot-microservices,This repository contains the latest source code of th spring-boot-microservices tutorial,https://github.com/SaiUpadhyayula/spring-boot-microservices
943,spring-cloud-aws,awspring/spring-cloud-aws,The New Home for Spring Cloud AWS,https://github.com/awspring/spring-cloud-aws
938,sso,kawhii/sso,cas单点登录系统，其中包括cas认证服务，配置中心，监控平台，服务管理的高可用项目,https://github.com/kawhii/sso
923,chaos-monkey-spring-boot,codecentric/chaos-monkey-spring-boot,Chaos Monkey for Spring Boot,https://github.com/codecentric/chaos-monkey-spring-boot
902,SpringBootLearning,gf-huanchupk/SpringBootLearning,Spring Boot learning process,https://github.com/gf-huanchupk/SpringBootLearning
892,spring-tools,spring-projects/spring-tools,"The next generation of tooling for Spring Boot, including support for Cloud Foundry manifest files, Concourse CI pipeline definitions, BOSH deployment manifests, and more... - Available for Eclipse, Visual Studio Code, and Theia",https://github.com/spring-projects/spring-tools
882,grpc-by-example-java,saturnism/grpc-by-example-java,A collection of useful/essential gRPC Java Examples,https://github.com/saturnism/grpc-by-example-java
880,scoold,Erudika/scoold,A Stack Overflow clone for teams (self-hosted or hosted),https://github.com/Erudika/scoold
878,keycloak-config-cli,adorsys/keycloak-config-cli,Import YAML/JSON-formatted configuration files into Keycloak - Configuration as Code for Keycloak.,https://github.com/adorsys/keycloak-config-cli
864,plant-it,MDeLuise/plant-it,"🪴 Self-hosted, open source gardening companion app",https://github.com/MDeLuise/plant-it
852,cjml_server,826148267/cjml_server,Secure storage system based on cryptography｜基于密码学的安全存储系统,https://github.com/826148267/cjml_server
836,spring-tutorial,dunwu/spring-tutorial,:book: Spring 教程,https://github.com/dunwu/spring-tutorial
820,Spring-Boot-Blog-REST-API,osopromadze/Spring-Boot-Blog-REST-API,"Restful CRUD Blog API using Spring Boot, Spring Security, JWT, Mysql, JPA",https://github.com/osopromadze/Spring-Boot-Blog-REST-API
810,spring-cloud-consul,spring-cloud/spring-cloud-consul,Spring Cloud Consul,https://github.com/spring-cloud/spring-cloud-consul
809,dante-cloud,dromara/dante-cloud,Dante Cloud 国内首个支持阻塞式和响应式服务并行的微服务平台。采用领域驱动模型(DDD)设计思想，以「高质量代码、低安全漏洞」为核心，高度模块化和组件化设计，支持智能电视、IoT等物联网设备认证，满足国家三级等保要求、支持接口国密数字信封加解密等系列安全体系的多租户微服务解决方案。独创的“一套代码实现微服务和单体两种架构灵活切换”的企业级应用系统。可灵活切换 Spring Cloud Alibaba、Spring Cloud Tencent 和 Spring Cloud 原生组件。🔝 🔝 点个star 持续关注更新！,https://github.com/dromara/dante-cloud
802,spring-boot,mkyong/spring-boot,List of Spring Boot Tutorials,https://github.com/mkyong/spring-boot
797,ddd-with-spring,mploed/ddd-with-spring,Code examples for my conference talk on implementing ddd with spring,https://github.com/mploed/ddd-with-spring
791,springboot-jwt-starter,bfwg/springboot-jwt-starter,A Spring Boot JWT starter kit for stateless and token-based authentication apps.,https://github.com/bfwg/springboot-jwt-starter
789,blog-tutorials,rieckpil/blog-tutorials,":star: Codebase for various tutorials  about Java, Spring Boot, AWS, Kotlin, and Testing",https://github.com/rieckpil/blog-tutorials
765,springboot-learning,zhangyd-c/springboot-learning,:taxi: spring boot学习案例，方便spring boot 初学者快速掌握相关知识,https://github.com/zhangyd-c/springboot-learning
741,microservices,eazybytes/microservices,"Microservices With Spring, Docker, Kubernetes - Code Examples",https://github.com/eazybytes/microservices
723,spring-cloud-contract,spring-cloud/spring-cloud-contract,Support for Consumer Driven Contracts in Spring,https://github.com/spring-cloud/spring-cloud-contract
712,atsea-sample-shop-app,dockersamples/atsea-sample-shop-app,A sample app that uses a Java Spring Boot backend connected to a database to display a fictitious art shop with a React front-end.,https://github.com/dockersamples/atsea-sample-shop-app
711,hellokoding-courses,hellokoding/hellokoding-courses,"HelloKoding provides practical coding guides series of Spring Boot, Java, Algorithms, and other topics on software engineering",https://github.com/hellokoding/hellokoding-courses
700,cloud-native-workshop,joshlong/cloud-native-workshop,"win w/ Spring Boot, Spring Cloud and Cloud Foundry",https://github.com/joshlong/cloud-native-workshop
700,spring-boot-upload-file-lead-to-rce-tricks,LandGrey/spring-boot-upload-file-lead-to-rce-tricks,spring boot Fat Jar 任意写文件漏洞到稳定 RCE 利用技巧,https://github.com/LandGrey/spring-boot-upload-file-lead-to-rce-tricks
696,IM,yuanrw/IM,"IM server based on netty. Provides a client jar. Integrate with your own login system.基于netty实现的IM服务端,提供客户端jar包,可集成自己的登录系统",https://github.com/yuanrw/IM
688,spring-boot-thin-launcher,spring-projects-experimental/spring-boot-thin-launcher,"Tools for building ""thin"" executable jars, with a focus on, but not exclusively for, Spring Boot",https://github.com/spring-projects-experimental/spring-boot-thin-launcher
680,abixen-platform,abixen/abixen-platform,Abixen Platform is a microservices based software platform for building enterprise applications delivering functionalities through creating particular microservices and integrating by provided CMS.,https://github.com/abixen/abixen-platform
675,spring-boot-demo,liuyueyi/spring-boot-demo,Spring Boot & Spring Cloud & Spring Security Demo Case（Spring学习示例实战项目）,https://github.com/liuyueyi/spring-boot-demo
674,spring-boot-microservices-series,sivaprasadreddy/spring-boot-microservices-series,Code for SpringBoot MicroServices Blog Series,https://github.com/sivaprasadreddy/spring-boot-microservices-series
654,newbee-mall-plus,newbee-ltd/newbee-mall-plus,🔥 🎉newbee-mall-plus 项目是 newbee-mall 项目的升级版本，增加了优惠券模块、商品秒杀模块、支付宝支付，优化了搜索功能，后续会继续增加功能模块以及流行的技术栈。,https://github.com/newbee-ltd/newbee-mall-plus
637,building-microservices,livelessons-spring/building-microservices,Building Microservices with Spring Boot,https://github.com/livelessons-spring/building-microservices
631,gs-spring-boot-docker,spring-guides/gs-spring-boot-docker,Spring Boot with Docker :: Learn how to create a Docker container from a Spring Boot application with Maven or Gradle,https://github.com/spring-guides/gs-spring-boot-docker
626,sample-spring-microservices,piomin/sample-spring-microservices,"Many samples in different branches that shows how to create microservices with Spring Boot, Spring Cloud, Zipkin, Zuul, Eureka, Hystrix, Kubernetes, Elastic Stack and many more tools",https://github.com/piomin/sample-spring-microservices
620,yuzi-generator,liyupi/yuzi-generator,基于 React + Spring Boot + Picocli + 对象存储的代码生成器共享平台，又分为 3 个循序渐进的子项目：基于命令行的本地代码生成器 + 代码生成器制作工具 + 在线代码生成器平台。实践 Java 命令行应用开发、FreeMarker 模板引擎、多种设计模式、对象存储、十几种优化方法、复杂业务的拆解和系统设计、分布式任务调度系统、Vert.x 响应式编程等,https://github.com/liyupi/yuzi-generator
